Size,Count
40000,33391
40000,34322
50000,46315
50000,37704
50000,38249
50000,38381
50000,37575
50000,42094
50000,40757
50000,49722
50000,39956
50000,38051
50000,40836
50000,38914
50000,42062
50000,38978
50000,40293
50000,45006
50000,46944
50000,38656
50000,43934
50000,38827
50000,46249
50000,48373
50000,39054
50000,46858
50000,45198
50000,38661
50000,37484
50000,43485
50000,41053
50000,40317
50000,48101
50000,38192
50000,37515
50000,48320
50000,39808
50000,37697
50000,37986
50000,45559
50000,42469
50000,49097
50000,38484
50000,38258
50000,41205
50000,37762
50000,37847
50000,37678
50000,48336
50000,37664
50000,45839
50000,41425
50000,37689
50000,48477
50000,44617
50000,39818
50000,39928
50000,48823
50000,41512
50000,37920
50000,37462
50000,39493
50000,37448
50000,45971
50000,48054
50000,37616
50000,45401
50000,39331
50000,41207
50000,43957
50000,39619
50000,42498
50000,37577
50000,38909
50000,47762
50000,39546
50000,41169
50000,49132
50000,48925
50000,38568
50000,39521
50000,38842
50000,37644
50000,38694
50000,38774
50000,39154
50000,38199
50000,39206
50000,46876
50000,48953
50000,41119
50000,37963
50000,38881
50000,42370
50000,38542
50000,40059
50000,43225
50000,38974
50000,48984
50000,43326
50000,41622
50000,47328
50000,40414
50000,43186
50000,37587
50000,39305
50000,37536
50000,48382
50000,45202
50000,38144
50000,44833
50000,48672
50000,44488
50000,39680
50000,42531
50000,37450
50000,46116
50000,44529
50000,40012
50000,45873
50000,43328
50000,37489
50000,40292
50000,39982
50000,43947
50000,37697
50000,38904
50000,45028
50000,38298
50000,37716
50000,39100
50000,38174
50000,37629
50000,38085
50000,46531
50000,42868
50000,40788
50000,37807
50000,38793
50000,43098
50000,38002
50000,45303
50000,38523
50000,48413
50000,37911
50000,38315
50000,43812
50000,45512
50000,38755
50000,38477
50000,38510
50000,38488
50000,39397
50000,40367
50000,37644
50000,37956
50000,40158
50000,38899
50000,43116
50000,47617
50000,44291
50000,42627
50000,38173
50000,37561
50000,42481
50000,40853
50000,40649
50000,38407
50000,41175
50000,38191
50000,37636
50000,48815
50000,37864
50000,38276
50000,40773
50000,37477
50000,40208
50000,46441
50000,37620
50000,39108
50000,37958
50000,39399
50000,39197
50000,45430
50000,38252
50000,44336
50000,42618
50000,37518
50000,44119
50000,42729
50000,39210
50000,38451
50000,42487
50000,39100
50000,38038
50000,45632
50000,46054
50000,40097
50000,45235
50000,37666
50000,41946
50000,44975
50000,48807
50000,41723
50000,39022
50000,38032
50000,40815
50000,41103
50000,37694
50000,48852
50000,40530
50000,41234
50000,38507
50000,39940
50000,39276
50000,37704
50000,47368
50000,49638
50000,41761
50000,39869
50000,45084
50000,45141
50000,47852
50000,39121
50000,47343
50000,46630
50000,41829
50000,45950
50000,42360
50000,38801
50000,40889
50000,46468
50000,39690
50000,39034
50000,49512
50000,37630
50000,43382
50000,49088
50000,43253
50000,39253
50000,37935
50000,39298
50000,37603
50000,38010
50000,45142
50000,45358
50000,49235
50000,39250
50000,40182
50000,39232
50000,37521
50000,37855
50000,39663
50000,41549
50000,40210
50000,39867
50000,42291
50000,38401
50000,49738
50000,37950
50000,37946
50000,37481
50000,48809
50000,37936
50000,44292
50000,45922
50000,38521
50000,40130
50000,43129
50000,45780
50000,41011
50000,37548
50000,45016
50000,44783
50000,37919
50000,40278
50000,46943
50000,38322
50000,41455
50000,38285
50000,41081
50000,38923
50000,46345
50000,43548
50000,38507
50000,38882
50000,46232
50000,43806
50000,42351
50000,38246
50000,47207
50000,43628
50000,44371
50000,37638
50000,38337
50000,48311
50000,39230
50000,37894
50000,46215
50000,46948
50000,38735
50000,42048
